13,açaí,42
10,churrasco,35
5,pizza,11
30,açaí,38
23,hambúrguer,27
18,hambúrguer,32
5,pizza,10
22,prato_feito,43
2,açaí,26
17,esfirra,49
19,pizza,48
14,açaí,27
16,pizza,10
4,prato_feito,13
25,hambúrguer,48
29,churrasco,25
29,pastel,22
20,churrasco,19
21,prato_feito,39
10,pizza,35
23,esfirra,13
3,pizza,32
17,pastel,10
15,churrasco,11
4,hambúrguer,46
24,pastel,41
23,prato_feito,16
7,açaí,8
2,açaí,10
25,prato_feito,8
12,açaí,36
30,churrasco,25
25,hambúrguer,6
10,açaí,36
29,sushi,30
21,churrasco,27
29,açaí,24
26,açaí,5
3,churrasco,22
15,hambúrguer,20
21,churrasco,50
30,esfirra,28
15,hambúrguer,12
1,pastel,10
16,sushi,26
14,pizza,50
26,prato_feito,7
24,sushi,19
2,pizza,46
12,açaí,35
25,pizza,9
24,churrasco,25
21,prato_feito,20
11,esfirra,21
10,pastel,27
22,pastel,15
16,pastel,12
18,açaí,6
19,sushi,33
21,hambúrguer,25
26,esfirra,35
8,açaí,50
15,hambúrguer,47
4,açaí,26
23,prato_feito,27
4,hambúrguer,36
27,esfirra,18
3,pizza,44
25,esfirra,18
1,pizza,5
18,hambúrguer,16
30,esfirra,36
30,churrasco,33
13,pizza,5
4,sushi,6
13,hambúrguer,19
10,pastel,34
25,sushi,37
13,pastel,11
8,prato_feito,13
29,pastel,9
21,prato_feito,23
23,churrasco,9
1,sushi,21
1,prato_feito,46
19,prato_feito,15
28,churrasco,45
4,hambúrguer,20
12,esfirra,27
7,açaí,13
5,pastel,28
5,churrasco,24
4,prato_feito,29
19,pizza,31
20,esfirra,47
6,sushi,26
10,hambúrguer,15
23,prato_feito,12
21,pizza,48
1,prato_feito,16
16,pizza,16
2,prato_feito,9
11,churrasco,9
7,pizza,9
25,esfirra,36
21,prato_feito,37
27,pizza,10
5,sushi,21
3,pizza,40
7,açaí,25
22,açaí,18
15,hambúrguer,29
25,churrasco,42
27,açaí,23
24,pastel,40
9,prato_feito,41
8,esfirra,32
17,hambúrguer,18
22,churrasco,23
21,hambúrguer,21
15,pastel,13
6,esfirra,28
19,sushi,43
20,esfirra,14
9,hambúrguer,7
27,açaí,34
9,açaí,29
29,açaí,43
22,açaí,37
14,esfirra,6
5,hambúrguer,20
15,hambúrguer,46
11,prato_feito,37
24,pizza,8
5,açaí,40
9,pastel,19
17,sushi,10
17,pastel,21
10,hambúrguer,35
8,prato_feito,39
19,pastel,45
11,pastel,48
24,churrasco,41
25,churrasco,12
21,churrasco,21
3,pastel,37
12,pastel,37
8,sushi,5
15,pastel,12
21,pizza,7
29,pizza,17
28,esfirra,24
22,açaí,38
18,sushi,19
7,pizza,23
4,açaí,18
15,churrasco,31
18,pastel,8
13,prato_feito,39
13,prato_feito,26
24,pizza,25
28,açaí,9
1,hambúrguer,47
24,esfirra,10
30,hambúrguer,41
17,sushi,43
21,pizza,48
19,pizza,43
16,açaí,15
16,prato_feito,9
13,esfirra,40
4,sushi,45
1,sushi,27
10,hambúrguer,41
5,prato_feito,18
19,pizza,6
20,churrasco,33
22,churrasco,20
2,hambúrguer,23
24,pizza,50
18,pizza,29
9,esfirra,37
23,hambúrguer,10
10,pastel,49
12,pastel,48
12,açaí,46
24,pastel,23
27,açaí,16
8,hambúrguer,32
16,churrasco,25
9,açaí,42
28,sushi,48
14,pastel,28
10,sushi,39
28,prato_feito,30
3,prato_feito,8
28,churrasco,34
4,esfirra,29
11,pizza,15
26,pizza,23
28,pizza,19
25,churrasco,47
28,esfirra,49
20,hambúrguer,32
25,açaí,7
14,hambúrguer,16
18,churrasco,47
15,prato_feito,21
4,hambúrguer,7
20,sushi,18
29,pizza,10
5,açaí,14
7,churrasco,18
11,pizza,24
18,sushi,11
23,esfirra,13
16,prato_feito,40
24,açaí,44
15,hambúrguer,17
26,hambúrguer,11
13,prato_feito,40
12,pizza,27
6,pastel,40
22,esfirra,10
15,pastel,24
12,churrasco,12
10,açaí,36
1,hambúrguer,14
25,esfirra,44
30,pizza,39
27,pastel,6
7,açaí,50
19,sushi,9
9,esfirra,28
4,prato_feito,11
27,pizza,27
21,sushi,16
30,esfirra,21
21,churrasco,41
18,churrasco,26
30,esfirra,29
3,pastel,42
22,prato_feito,41
28,hambúrguer,11
8,açaí,12
24,açaí,32
7,churrasco,35
3,esfirra,13
6,prato_feito,14
2,prato_feito,46
26,hambúrguer,22
20,açaí,15
20,sushi,20
11,prato_feito,6
26,pastel,9
21,sushi,10
9,açaí,27
10,pizza,45
10,hambúrguer,25
20,pastel,41
7,açaí,23
20,pastel,6
3,churrasco,32
11,pizza,11
25,pastel,16
7,pastel,38
2,sushi,48
5,açaí,36
2,hambúrguer,49
22,açaí,46
11,prato_feito,17
24,hambúrguer,27
8,esfirra,10
21,açaí,7
2,açaí,8
18,churrasco,6
9,sushi,15
10,pizza,42
30,sushi,19
6,hambúrguer,21
26,esfirra,27
16,hambúrguer,40
22,prato_feito,41
26,sushi,28
22,sushi,9
15,churrasco,23
2,pastel,31
12,prato_feito,32
11,pastel,15
30,hambúrguer,23
11,pastel,44
22,sushi,39
14,hambúrguer,37
12,hambúrguer,42
16,pizza,50
27,pastel,28
19,prato_feito,14
2,açaí,10
25,sushi,35
15,açaí,34
30,açaí,48
27,pastel,31
30,hambúrguer,31
19,açaí,33
3,açaí,27
27,pizza,50
7,hambúrguer,22
1,prato_feito,29
8,churrasco,38
5,sushi,25
5,sushi,47
28,prato_feito,46
29,churrasco,26
20,sushi,35
2,pastel,43
18,esfirra,23
12,açaí,16
24,esfirra,15
26,pastel,36
19,sushi,15
5,pastel,17
26,esfirra,14
13,prato_feito,49
28,hambúrguer,34
22,açaí,46
11,pizza,13
18,hambúrguer,25
25,pizza,14
3,pizza,41
27,açaí,29
17,açaí,28
19,churrasco,29
9,prato_feito,6
30,sushi,11
15,açaí,30
23,açaí,12
3,prato_feito,30
24,sushi,14
5,hambúrguer,39
27,esfirra,49
14,pastel,14
22,prato_feito,50
8,prato_feito,45
14,pizza,41
8,pizza,38
7,hambúrguer,15
8,prato_feito,39
10,pastel,42
19,pizza,42
11,esfirra,10
13,hambúrguer,6
8,churrasco,14
29,pizza,25
1,esfirra,26
12,sushi,48
6,pastel,37
4,sushi,37
15,prato_feito,46
13,hambúrguer,9
2,esfirra,40
10,pizza,49
29,churrasco,47
3,pastel,24
28,hambúrguer,36
7,churrasco,30
4,esfirra,18
9,pizza,33
21,pastel,19
3,churrasco,24
20,pizza,36
14,açaí,48
5,esfirra,20
10,churrasco,16
9,pizza,16
29,pastel,29
2,sushi,34
11,açaí,21
5,churrasco,11
14,prato_feito,33
18,pizza,23
14,pastel,18
13,esfirra,34
15,açaí,46
18,prato_feito,42
4,açaí,47
13,pastel,48
3,sushi,26
5,pastel,16
6,açaí,35
9,pizza,24
30,sushi,35
5,pizza,23
25,pastel,16
29,sushi,40
25,esfirra,40
26,hambúrguer,10
11,pastel,6
2,pizza,32
29,churrasco,12
10,esfirra,15
30,sushi,41
17,churrasco,15
12,sushi,48
25,hambúrguer,27
25,esfirra,17
21,churrasco,23
28,sushi,33
25,esfirra,40
10,pizza,47
19,sushi,21
23,pizza,16
25,pastel,8
7,hambúrguer,26
25,churrasco,45
26,sushi,18
3,hambúrguer,5
3,prato_feito,15
4,prato_feito,45
19,pizza,22
7,esfirra,38
10,churrasco,36
1,pizza,15
18,pizza,10
5,prato_feito,7
1,esfirra,46
14,pastel,8
19,churrasco,32
10,churrasco,45
5,esfirra,47
10,açaí,8
24,açaí,36
26,sushi,20
18,sushi,47
22,sushi,43
27,sushi,47
1,pastel,21
18,pastel,13
29,sushi,35
9,pastel,23
8,açaí,12
10,hambúrguer,49
22,prato_feito,16
23,esfirra,27
24,churrasco,7
16,esfirra,10
13,esfirra,45
8,sushi,36
19,pizza,9
13,hambúrguer,19
8,esfirra,49
21,prato_feito,30
1,churrasco,24
15,pastel,12
21,prato_feito,42
23,esfirra,15
2,pastel,50
4,pastel,20
9,açaí,34
17,pastel,34
12,hambúrguer,21
30,pizza,32
21,sushi,23
6,açaí,24
9,açaí,28
12,açaí,18
6,prato_feito,13
10,pizza,42
11,pizza,27
14,churrasco,13
11,churrasco,6
13,prato_feito,7
13,pizza,6
14,hambúrguer,27
25,churrasco,37
13,esfirra,21
9,pastel,34
2,prato_feito,31
13,pastel,28
8,hambúrguer,30
4,prato_feito,11
18,pastel,16
15,pastel,31
20,churrasco,44
23,pastel,36
8,prato_feito,21
23,hambúrguer,25
24,hambúrguer,8
20,açaí,30
11,pastel,29
21,açaí,16
17,prato_feito,27
8,prato_feito,43
3,açaí,7
1,hambúrguer,39
2,sushi,9
1,pizza,48
12,pastel,23
26,pastel,50
24,pastel,45
4,esfirra,50
17,pizza,23
21,pastel,8
7,açaí,9
3,açaí,36
24,sushi,24
8,hambúrguer,37
10,pizza,26
2,pastel,22
28,açaí,40
24,sushi,45
23,churrasco,15
26,sushi,10
13,hambúrguer,48
10,esfirra,32
13,sushi,26
25,pastel,37
6,esfirra,27
26,hambúrguer,49
14,esfirra,18
29,sushi,46
28,açaí,42
8,sushi,17
30,pastel,18
1,pastel,16
22,churrasco,16
24,prato_feito,34
10,pizza,46
10,esfirra,32
14,hambúrguer,37
19,sushi,26
10,hambúrguer,7
20,pastel,48
5,esfirra,46
10,hambúrguer,46
17,hambúrguer,33
13,açaí,41
28,churrasco,21
15,hambúrguer,50
7,pizza,21
17,esfirra,9
4,hambúrguer,34
3,churrasco,19
19,pizza,34
4,sushi,8
2,prato_feito,31
1,pastel,13
6,churrasco,20
21,pizza,45
7,prato_feito,40
17,sushi,37
1,esfirra,24
5,churrasco,32
25,açaí,45
29,pizza,21
17,esfirra,5
24,açaí,7
21,sushi,44
13,churrasco,45
10,churrasco,20
24,pastel,35
19,sushi,12
9,churrasco,28
7,hambúrguer,9
26,churrasco,45
29,pastel,15
16,pastel,34
30,sushi,18
11,sushi,45
25,açaí,8
29,esfirra,16
24,esfirra,20
5,sushi,22
5,pizza,26
26,pastel,32
7,esfirra,8
2,churrasco,14
8,açaí,20
5,sushi,45
4,esfirra,9
11,prato_feito,36
